Factory Type,Factory Name,Country,City,Established (EC),Ownership Type,Product Type,Capacity (pairs per day),Production (PPD),Membership,e_male,e_female,local market (percent),export_dst
Footwear,Dire Industries plc,Ethiopia,Addis Ababa,1992,plc,"Men, ladies and
children Shoe",2000,1500,CC & LA,80,320,10,"USA, ITALY,
SPAIN, KSA"
Footwear,New wing – Addis Shoe factory,Ethiopia,Addis Ababa,2004,plc,Ladies Shoe,4000,1000,LA,101,215,0,USA
Footwear,Huajian International Shoe City,Ethiopia,Dukame,2004,plc,Ladies Shoe,4000,3000,NA,720,480,0,USA
Footwear,Ramsay Shoe Factory,Ethiopia,Addis Ababa,1987,Share Company,Men and ladies shoe,2000,1200,CC & LA,162,120,35,"USA, ITALY, GERMANY,
SUDAN"
Footwear,Ras Dashen Shoe,Ethiopia,Addis Ababa,1982,plc,Men and Children shoe,1000,700,CC & LA,31,69,30,USA
Footwear,Kangaro Shoe Factory,Ethiopia,Addis Ababa,1982,plc,"Men, ladies and children Shoe",800,500,CC & LA,69,124,95,Nigeria
Footwear,Tikur Abbay Shoe Share,Ethiopia,Addis Ababa,1940,Share Company,"Men, ladies and children Shoe",4200,3500,CC & LA,314,258,40,"UGANDA, SUDAN, ITALY,
CANADA"
Footwear,Anbessa Shoe,Ethiopia,Addis Ababa,1931,Private Share Company,"Men, ladies and children Shoe",3000,2000,CC & LA,292,381,36,"ITALY, FRANCE, SUDAN, USA,
KENYA"
Footwear,Crystal Shoe Factory,Ethiopia,Addis Ababa,2003,Share Company,"Men, ladies and children Shoe",700,250,CC & LA,14,14,80,"South Sudan, COMESA"
Footwear,OK Jamaica Shoe Factory,Ethiopia,Addis Ababa,2001,Sole Proprietorship,Men shoe,800,200,CC & LA,23,61,80,"Kenya, Uganda, USA, Germany, Japan"
Footwear,Ara Shoes,Ethiopia,Addis Ababa,2009,Branch,Ladies Shoe  and Upper,1500,1300,NA,51,197,0,Germany
Footwear,Wallia Leather and Leather Products,Ethiopia,Addis Ababa,1996,plc,"Men, ladies and children Shoe",1000,400,CC & LA,30,70,25,"Germany, Italy"
Footwear,Park Shoe and Leather Products,Ethiopia,Addis Ababa,2000,Partnership,Shoe,550,300,LA,11,13,100,NA
Footwear,Sheba Leather Industry Plc,Ethiopia,Wukro,1985,plc,Men and Ladies Shoe,1000,600,NA,100,50,70,"France, Belgium, Italy"
Footwear,Bostex Shoe Factory,Ethiopia,Addis Ababa,2005,plc,Footwear,200,250,CC  ,60,60,2,"Taiwan, Singapore, Canada and South Korea"
Footwear,Fotaneya (ELICO Shoe Factory),Ethiopia,Addis Ababa,2002,plc,Shoe,1000,NA,CC & LA,55,55,30,"Italy, South Africa and Rwanda"
Footwear,Modern Zege Shoe Faxctory,Ethiopia,Addis Ababa,1989,plc,Shoe,800,400,CC & LA,35,35,60,USA
Footwear,Ethio – Leather Footwear Cluster,Ethiopia,Addis Ababa,NA,Association,Shoe,2000,1500,NA,NA,NA,NA,NA
Footwear,Jorge Shoe Factory,Ethiopia,Addis Ababa,NA,NA,Shoe,NA,NA,NA,NA,NA,NA,NA
Footwear,Oliberte,Ethiopia,Addis Ababa,2001,Private,Shoe,450,100,LA,26,37,10,Canada
Footwear,Mohan,Ethiopia,Gallan,1999,plc,shoe,4000,NA,CC & LA,55,56,NA,NA
